Course Number,Title,Credits,Term(s) Offered,Campus/Online,URL
59500,MEMS III:  Applications in MEMS,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=733&show=true&type=undergrad
59500,MRI Theory,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=746&show=true&type=undergrad
59500,Microfabrication Fundamentals,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=740&show=true&type=undergrad
59500,Natural Language Processing,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=752&show=true&type=undergrad
59500,Optical Imaging System Design ,3,Spring - odd years,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=825&show=true&type=undergrad
59500,Plasmas and Electric Discharges,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=823&show=true&type=undergrad
59500,Reinforcement Learning: Theory and Algorithms,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=829&show=true&type=undergrad
59500,Semiconductor Fundamentals,1,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=748&show=true&type=undergrad
59500,Semiconductor Manufacturing,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=742&show=true&type=undergrad
59500,Stories of Success: From Our Alums and Corporate Partners,1,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=808&show=true&type=undergrad
59500,Theory and Practice of Solar Cells:  A Cell to System Perspective,1,Every other Spring,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=712&show=true&type=undergrad
17911,First Year Participation in Vertically Integrated Projects (VIP) I,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=760&show=true&type=undergrad
17912,First Year Participation in Vertically Integrated Projects (VIP) II,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=761&show=true&type=undergrad
17920,First Year Participation in Vertically Integrated Projects (VIP),2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=759&show=true&type=undergrad
27920,Sophomore Participation in Vertically Integrated Projects (VIP),2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=753&show=true&type=undergrad
37920,Junior Participation in Vertically Integrated Projects (VIP),2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=755&show=true&type=undergrad
47920,Senior Participation in Vertically Integrated Projects (VIP),2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=756&show=true&type=undergrad
47921,Senior Design Participation in Vertically Integrated Projects (VIP) I,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=757&show=true&type=undergrad
47922,Senior Design Participation in Vertically Integrated Projects (VIP) II,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=758&show=true&type=undergrad
10100,First Year Participation in EPICS,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=593&show=true&type=undergrad
10200,First Year Participation in EPICS,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=594&show=true&type=undergrad
20100,Sophomore Participation in EPICS,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=595&show=true&type=undergrad
20200,Sophomore Participation in EPICS,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=410&show=true&type=undergrad
30100,Junior Participation in EPICS,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=596&show=true&type=undergrad
30200,Junior Participation in EPICS,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=412&show=true&type=undergrad
40100,Senior Participation in EPICS,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=415&show=true&type=undergrad
40200,Senior Participation in EPICS,2,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=597&show=true&type=undergrad
41100,Senior Design Participation in EPICS,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=598&show=true&type=undergrad
41200,Senior Design Participation in EPICS,2,None,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=599&show=true&type=undergrad
