Course Number,Title,Credits,Term(s) Offered,Campus/Online,URL
30864,Software Engineering Tools,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=815&show=true&type=undergrad
31032,Power Systems Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=764&show=true&type=undergrad
31033,Power Electronics,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=810&show=true&type=undergrad
32100,Electromechanical Motion Devices,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=35&show=true&type=undergrad
32300,Electromechanical Motion Devices and Systems Laboratory,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=45&show=true&type=undergrad
33700,ASIC Design Laboratory ,2,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=613&show=true&type=undergrad
36200,Microprocessor Systems and Interfacing ,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=612&show=true&type=undergrad
36800,Data Structures,3,"Each Fall, Spring, Summer",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=542&show=true&type=undergrad
36900,Discrete Mathematics for Computer Engineering,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=47&show=true&type=undergrad
38199,Professional Practice Co-Op I,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=554&show=true&type=undergrad
38200,Feedback System Analysis and Design,3,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=74&show=true&type=undergrad
38299,Professional Practice Co-Op II,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=555&show=true&type=undergrad
38399,Professional Practice Co-Op III,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=556&show=true&type=undergrad
39399,Professional Practice Extensive Co-Op III,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=559&show=true&type=undergrad
39401,Professional Communication and Diversity,1,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=704&show=true&type=undergrad
39499,Professional Practice Extensive Co-Op IV,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=560&show=true&type=undergrad
39595,Fundamentals of Quantum Technology,3,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=821&show=true&type=undergrad
39595,Introduction to Nanotechnology and Quantum Science and Technology,3,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=737&show=true&type=undergrad
39595,Programming with C++ Lab,1,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=771&show=true&type=undergrad
39595,Programming with Java Lab,1,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=772&show=true&type=undergrad
39595,Selected Topics in Electrical and Computer Engineering,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=461&show=true&type=undergrad
39599,Professional Practice Extensive Co-Op V,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=561&show=true&type=undergrad
39600,Industrial Practice Seminar,1,"Each Fall, Spring",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=311&show=true&type=undergrad
39699,Professional Practice Internship,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=562&show=true&type=undergrad
40020,Sound Reinforcement System Design,3,None,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=574&show=true&type=undergrad
40400,Introduction to Computer Security,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=515&show=true&type=undergrad
40862,Software for Embedded Systems ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=662&show=true&type=undergrad
40863,Introduction to Computer Networks,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=816&show=true&type=undergrad
40875,Data Mining Basic Concepts and Techniques,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=813&show=true&type=undergrad
41023,Electromechanical Motion Control,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=820&show=true&type=undergrad
41200,Introduction to Engineering Optics ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=615&show=true&type=undergrad
41300,Introduction to Optics Laboratory,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=88&show=true&type=undergrad
41400,Elements of Electro And Fiber Optics,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=48&show=true&type=undergrad
41500,Electro- And Fiber Optics Laboratory,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=89&show=true&type=undergrad
